uid,lat,lon,timestamp_utc,missing_time_flag,flood_depth_cm
101308,-6.13795,106.78136,2020-01-02T10:38:40,0,71.0
101355,-6.18488,106.72183,2020-01-02T10:42:38,0,143.0
101356,-6.13108,106.76979,2020-01-02T10:42:49,0,105.0
101361,-6.13375,106.76413,2020-01-02T10:43:13,0,69.0
101398,-6.13109,106.76995,2020-01-02T10:50:32,0,98.0
101459,-6.16782,106.73864,2020-01-02T10:58:01,0,65.0
101573,-6.1744,106.77375,2020-01-02T11:15:11,0,39.0
101654,-6.13057,106.77856,2020-01-02T11:34:27,0,126.0
101685,-6.13805,106.78242,2020-01-02T11:49:07,0,74.0
101692,-6.17038,106.78056,2020-01-02T11:54:04,0,93.0
101694,-6.17729,106.7825,2020-01-02T11:54:18,0,38.0
101701,-6.17112,106.73321,2020-01-02T11:57:07,0,50.0
101706,-6.16897,106.7784,2020-01-02T11:58:46,0,127.0
101708,-6.17522,106.71543,2020-01-02T12:00:29,0,35.0
101711,-6.19997,106.89623,2020-01-02T12:01:19,0,56.0
101723,-6.17088,106.77532,2020-01-02T12:09:06,0,52.0
101727,-6.17236,106.77687,2020-01-02T12:11:31,0,119.0
101729,-6.1751,106.865,2020-01-02T12:12:21,0,50.0
101741,-6.17377,106.78103,2020-01-02T12:17:24,0,67.0
101746,-6.16985,106.78408,2020-01-02T12:21:21,0,30.0
101790,-6.17528,106.77878,2020-01-02T12:51:39,0,67.0
101797,-6.13383,106.73956,2020-01-02T12:56:10,0,63.0
101812,-6.16408,106.72841,2020-01-02T13:50:04,0,46.0
101813,-6.17469,106.86539,2020-01-02T14:02:19,0,146.0
101815,-6.18482,106.71435,2020-01-02T14:11:11,0,133.0
101816,-6.17726,106.73619,2020-01-02T14:16:00,0,45.0
101817,-6.16907,106.76031,2020-01-02T14:18:12,0,95.0
101819,-6.14132,106.77224,2020-01-02T14:42:03,0,50.0
101820,-6.16453,106.74427,2020-01-02T16:05:09,0,87.0
101821,-6.16329,106.74588,2020-01-02T16:09:45,0,130.0
101822,-6.21376,106.76534,2020-01-02T16:12:08,0,32.0
101823,-6.1513,106.79213,2020-01-02T16:29:47,0,40.0
101824,-6.15125,106.78271,2020-01-02T17:05:18,0,83.0
99261,-6.16357,106.84043,2020-01-02T00:42:48,0,43.0
99267,-6.13316,106.77271,2020-01-02T00:45:46,0,89.0
99331,-6.16879,106.90478,2020-01-02T01:19:48,0,32.0
99403,-6.13695,106.77983,2020-01-02T01:49:24,0,120.0
99414,-6.1379,106.78224,2020-01-02T01:51:34,0,80.0
99505,-6.15457,106.89499,2020-01-02T02:18:58,0,40.0
99548,-6.16385,106.72476,2020-01-02T02:50:30,0,46.0
99549,-6.16746,106.72779,2020-01-02T02:52:58,0,34.0
99550,-6.16626,106.72716,2020-01-02T02:54:29,0,44.0
99593,-6.17291,106.78035,2020-01-02T03:13:56,0,40.0
99614,-6.23472,106.86515,2020-01-02T03:19:07,0,191.0
99643,-6.16435,106.74623,2020-01-02T03:26:53,0,100.0
99648,-6.16189,106.83635,2020-01-02T03:28:08,0,63.0
99685,-6.17469,106.86539,2020-01-02T03:36:05,0,195.0
99692,-6.17457,106.95301,2020-01-02T03:36:51,0,45.0
99711,-6.19044,106.76366,2020-01-02T03:41:55,0,60.0
99723,-6.21733,106.86343,2020-01-02T03:47:52,0,195.0
99730,-6.17768,106.89469,2020-01-02T03:48:20,0,31.0
99733,-6.16712,106.77346,2020-01-02T03:49:38,0,153.0
99753,-6.17892,106.77933,2020-01-02T03:55:39,0,110.0
99764,-6.18005,106.89664,2020-01-02T04:00:16,0,125.0
99791,-6.18047,106.77952,2020-01-02T04:08:52,0,135.0
99816,-6.1715,106.77771,2020-01-02T04:14:04,0,150.0
99821,-6.16466,106.72743,2020-01-02T04:16:02,0,70.0
99854,-6.1684,106.71726,2020-01-02T04:20:14,0,60.0
101826,-6.19909,106.76215,2020-01-03T00:36:50,0,1.0
101827,-6.1447,106.78326,2020-01-03T01:40:20,0,25.0
101828,-6.17042,106.76937,2020-01-03T01:45:33,0,142.0
101829,-6.31195,106.82113,2020-01-03T02:21:44,0,150.0
101830,-6.1303,106.77824,2020-01-03T03:32:39,0,141.0
101831,-6.13826,106.77338,2020-01-03T03:37:51,0,150.0
101832,-6.13843,106.77947,2020-01-03T03:45:07,0,119.0
101833,-6.17153,106.71632,2020-01-03T04:10:17,0,25.0
101834,-6.13312,106.77275,2020-01-03T04:34:24,0,22.0
101835,-6.137,106.77983,2020-01-03T05:42:59,0,99.0
101836,-6.14137,106.7711,2020-01-03T05:48:52,0,23.0
101837,-6.16237,106.7459,2020-01-03T06:09:24,0,80.0
101840,-6.13247,106.77025,2020-01-03T07:29:33,0,66.0
101843,-6.13862,106.77519,2020-01-03T09:12:27,0,104.0
101844,-6.13678,106.77754,2020-01-03T09:14:49,0,119.0
101845,-6.25864,106.80906,2020-01-03T10:43:17,0,195.0
101846,-6.1631,106.74247,2020-01-03T12:12:06,0,44.0
101847,-6.16946,106.77739,2020-01-03T13:10:17,0,101.0
101848,-6.16695,106.74004,2020-01-03T13:20:44,0,9.0
101849,-6.16044,106.76222,2020-01-03T13:30:39,0,48.0
101852,-6.15666,106.76006,2020-01-03T16:29:56,0,39.0
101853,-6.26267,106.77107,2020-01-03T23:00:05,0,1.0
101854,-6.16584,106.77257,2020-01-04T01:51:25,0,70.0
101857,-6.23637,106.74776,2020-01-04T07:45:21,0,24.0
101858,-6.32665,106.80708,2020-01-04T13:42:46,0,1.0
101866,-6.16405,106.7166,2020-01-05T23:57:43,0,50.0
101867,-6.31413,106.80848,2020-01-06T00:20:58,0,143.0
101870,-6.17605,106.86539,2020-01-06T05:49:25,0,23.0
101872,-6.24144,106.7877,2020-01-06T12:28:01,0,27.0
101873,-6.17552,106.73393,2020-01-06T12:56:15,0,161.0
101874,-6.17803,106.9037,2020-01-06T14:12:51,0,32.0
101875,-6.17429,106.73892,2020-01-06T15:57:25,0,80.0
101878,-6.18632,106.75585,2020-01-07T05:28:39,0,100.0
101879,-6.17469,106.86539,2020-01-07T06:51:01,0,14.0
101881,-6.25424,106.91648,2020-01-07T09:43:47,0,51.0
101882,-6.16059,106.74618,2020-01-07T12:42:49,0,165.0
101887,-6.15592,106.74167,2020-01-08T07:17:04,0,164.0
101891,-6.24466,106.85821,2020-01-08T18:27:42,0,1.0
101902,-6.17605,106.86539,2020-01-13T03:31:45,0,143.0
101904,-6.19371,106.86707,2020-01-13T03:33:26,0,146.0
101907,-6.19333,106.8687,2020-01-13T03:35:59,0,144.0
101909,-6.19338,106.86873,2020-01-13T03:38:14,0,39.0
101910,-6.19333,106.8687,2020-01-13T03:38:50,0,22.0
101913,-6.17469,106.86539,2020-01-14T11:58:05,0,93.0
101914,-6.27344,106.87208,2020-01-14T15:35:30,0,46.0
101922,-6.22847,106.79589,2020-01-17T23:47:13,0,23.0
101923,-6.19925,106.79614,2020-01-17T23:57:28,0,23.0
101924,-6.15906,106.76267,2020-01-18T00:19:50,0,28.0
101925,-6.21164,106.79349,2020-01-18T00:58:22,0,36.0
101926,-6.21495,106.78732,2020-01-18T00:54:38,0,133.0
101927,-6.24871,106.78905,2020-01-18T01:18:25,0,33.0
101928,-6.18783,106.8148,2020-01-18T01:34:59,0,23.0
101929,-6.23574,106.7864,2020-01-18T02:35:23,0,20.0
101930,-6.14177,106.77686,2020-01-18T02:39:44,0,50.0
101931,-6.16611,106.76919,2020-01-18T02:42:51,0,15.0
101932,-6.20254,106.7917,2020-01-18T06:54:11,0,32.0
101933,-6.33617,106.9111,2020-01-18T11:00:47,0,10.0
101938,-6.17469,106.86539,2020-01-21T06:54:48,0,195.0
101940,-6.17469,106.86539,2020-01-21T07:00:46,0,21.0
101951,-6.1751,106.865,2020-01-21T07:44:25,0,80.0
101954,-6.15213,106.77516,2020-01-21T13:11:34,0,46.0
101959,-6.17469,106.86539,2020-01-24T03:04:33,0,6.0
101960,-6.11565,106.87558,2020-01-24T03:26:02,0,10.0
101961,-6.13511,106.88588,2020-01-24T03:28:28,0,50.0
101962,-6.13372,106.86045,2020-01-24T03:29:28,0,18.0
101963,-6.13642,106.825,2020-01-24T03:33:13,0,65.0
101964,-6.17798,106.89415,2020-01-24T03:34:13,0,18.0
101965,-6.15585,106.85179,2020-01-24T03:41:04,0,10.0
101966,-6.14267,106.89028,2020-01-24T03:42:08,0,69.0
101967,-6.18265,106.86069,2020-01-24T03:46:14,0,30.0
101968,-6.14524,106.85931,2020-01-24T03:46:16,0,28.0
101969,-6.14531,106.78829,2020-01-24T03:48:21,0,5.0
101970,-6.23494,106.91772,2020-01-24T03:48:17,0,39.0
101971,-6.13378,106.8878,2020-01-24T03:54:35,0,49.0
101972,-6.09583,106.71824,2020-01-24T03:56:15,0,45.0
101973,-6.1367,106.88693,2020-01-24T03:58:16,0,61.0
101974,-6.17789,106.89536,2020-01-24T04:01:59,0,16.0
101975,-6.21966,106.84315,2020-01-24T04:01:47,0,30.0
101976,-6.14109,106.74779,2020-01-24T04:08:17,0,20.0
101977,-6.24452,106.87588,2020-01-24T04:09:34,0,70.0
101978,-6.33219,106.87535,2020-01-24T04:13:35,0,87.0
101979,-6.15269,106.85238,2020-01-24T04:17:28,0,47.0
101980,-6.15537,106.85675,2020-01-24T04:24:08,0,43.0
101982,-6.15091,106.86208,2020-01-24T04:45:02,0,23.0
101983,-6.21073,106.85173,2020-01-24T04:59:48,0,15.0
101984,-6.24572,106.86782,2020-01-24T04:59:48,0,31.0
101985,-6.14747,106.73927,2020-01-24T04:59:37,0,47.0
101986,-6.15808,106.90159,2020-01-24T05:01:48,0,20.0
101987,-6.1409,106.85269,2020-01-24T05:01:53,0,15.0
101988,-6.12338,106.78684,2020-01-24T05:07:48,0,28.0
101989,-6.12341,106.80445,2020-01-24T05:09:24,0,40.0
101990,-6.1101,106.71239,2020-01-24T05:09:22,0,50.0
101991,-6.13455,106.70858,2020-01-24T05:15:08,0,20.0
101992,-6.23889,106.87796,2020-01-24T05:22:13,0,25.0
101993,-6.17502,106.86535,2020-01-24T05:22:46,0,61.0
101994,-6.14591,106.90598,2020-01-24T05:22:42,0,37.0
101995,-6.10755,106.76936,2020-01-24T05:23:58,0,36.0
101996,-6.23181,106.87632,2020-01-24T05:34:04,0,40.0
101997,-6.23857,106.87792,2020-01-24T05:43:18,0,50.0
102000,-6.23916,106.87788,2020-01-24T06:03:00,0,65.0
102001,-6.14846,106.91129,2020-01-24T06:11:15,0,35.0
102003,-6.16385,106.91096,2020-01-24T06:23:04,0,47.0
102004,-6.11852,106.71121,2020-01-24T06:46:11,0,38.0
102006,-6.15279,106.89728,2020-01-24T06:53:30,0,45.0
102007,-6.17469,106.86539,2020-01-24T06:54:57,0,195.0
102008,-6.17469,106.86539,2020-01-24T06:55:49,0,195.0
102009,-6.15543,106.81963,2020-01-24T07:04:40,0,59.0
102010,-6.17469,106.86539,2020-01-24T07:15:14,0,40.0
102011,-6.12701,106.72427,2020-01-24T07:18:40,0,20.0
102012,-6.20885,106.87165,2020-01-24T07:33:46,0,41.0
102013,-6.22898,106.85863,2020-01-24T07:47:02,0,24.0
102017,-6.15081,106.91031,2020-01-24T09:49:39,0,15.0
102048,-6.30855,106.79763,2020-01-26T15:12:47,0,60.0
102051,-6.30041,106.78792,2020-01-26T16:25:36,0,78.0
102074,-6.23171,106.83363,2020-01-30T11:11:39,0,73.0
102076,-6.23208,106.83437,2020-01-30T11:17:01,0,23.0
102077,-6.17605,106.86539,2020-01-30T12:34:25,0,106.0
102080,-6.17248,106.82209,2020-01-31T02:53:43,0,33.0
102103,-6.15669,106.74222,2020-02-01T12:00:00,1,44.0
102109,-6.11354,106.71176,2020-02-01T12:00:00,1,25.0
102112,-6.13381,106.86036,2020-02-02T12:00:00,1,18.0
102113,-6.1411,106.87009,2020-02-02T12:00:00,1,21.0
102114,-6.13381,106.86036,2020-02-02T12:00:00,1,21.0
102115,-6.145,106.86119,2020-02-02T12:00:00,1,62.0
102116,-6.15993,106.77257,2020-02-02T12:00:00,1,42.0
102118,-6.13964,106.78288,2020-02-02T12:00:00,1,17.0
102119,-6.13571,106.86438,2020-02-02T12:00:00,1,15.0
102120,-6.13143,106.88281,2020-02-02T12:00:00,1,23.0
102121,-6.1542,106.74968,2020-02-02T12:00:00,1,53.0
102122,-6.16342,106.76623,2020-02-02T12:00:00,1,45.0
102123,-6.15802,106.83532,2020-02-02T12:00:00,1,35.0
102124,-6.18534,106.82924,2020-02-02T12:00:00,1,50.0
102125,-6.177,106.77217,2020-02-02T12:00:00,1,42.0
102126,-6.14205,106.7774,2020-02-02T12:00:00,1,39.0
102127,-6.1777,106.76694,2020-02-02T12:00:00,1,32.0
102142,-6.34316,106.90942,2020-02-04T12:00:00,1,47.0
102146,-6.33565,106.9118,2020-02-04T12:00:00,1,45.0
102149,-6.33578,106.91031,2020-02-04T12:00:00,1,106.0
102154,-6.10817,106.7688,2020-02-04T12:00:00,1,47.0
102197,-6.25254,106.81906,2020-02-06T12:00:00,1,29.0
102202,-6.19322,106.86871,2020-02-07T12:00:00,1,25.0
102208,-6.26081,106.86134,2020-02-07T12:00:00,1,81.0
102209,-6.16252,106.96801,2020-02-07T12:00:00,1,20.0
102211,-6.22144,106.77482,2020-02-07T12:00:00,1,180.0
102212,-6.1728,106.90453,2020-02-07T12:00:00,1,31.0
102213,-6.15136,106.87858,2020-02-07T12:00:00,1,34.0
102214,-6.13571,106.8644,2020-02-07T12:00:00,1,25.0
102216,-6.1411,106.87128,2020-02-07T12:00:00,1,23.0
102217,-6.26131,106.79384,2020-02-07T12:00:00,1,1.0
102218,-6.16451,106.86228,2020-02-07T12:00:00,1,10.0
102219,-6.2136,106.85706,2020-02-07T12:00:00,1,80.0
102220,-6.24611,106.86387,2020-02-07T12:00:00,1,100.0
102221,-6.13814,106.83541,2020-02-07T12:00:00,1,16.0
102222,-6.15686,106.87717,2020-02-07T12:00:00,1,21.0
102223,-6.18075,106.82655,2020-02-07T12:00:00,1,114.0
102225,-6.15803,106.84805,2020-02-07T12:00:00,1,40.0
102226,-6.11512,106.87634,2020-02-07T12:00:00,1,29.0
102228,-6.20243,106.95356,2020-02-07T12:00:00,1,10.0
102229,-6.16068,106.89308,2020-02-07T12:00:00,1,48.0
102230,-6.18743,106.90165,2020-02-07T12:00:00,1,62.0
102231,-6.17552,106.95032,2020-02-07T12:00:00,1,40.0
102232,-6.26665,106.83275,2020-02-07T12:00:00,1,47.0
102233,-6.15617,106.86476,2020-02-07T12:00:00,1,53.0
102234,-6.15211,106.87737,2020-02-07T12:00:00,1,25.0
102235,-6.14667,106.78473,2020-02-07T12:00:00,1,20.0
102236,-6.1593,106.92729,2020-02-07T12:00:00,1,16.0
102237,-6.17652,106.8857,2020-02-07T12:00:00,1,45.0
102238,-6.1751,106.865,2020-02-07T12:00:00,1,17.0
